NOCCODE,OperatorPublicName,RefNm,OpNm,Licence,TLRegOwn,Mode,ManDivNm,GpNme,EBSRAgent,LO,SW,WM,WA,YO,NW,NE,SC,SE,EA,EM,NI,NX,Megabus,"New Bharat",Terravision,NCSD,Easybus,Yorks_RT,"Travel Enq",Comment,AuditDate,AuditEditor,AuditComment,Duplicate,"Date Ceased","Cessation Comment"
ABCC,"A B C Coach",,"A B C Coach Limited",PC1039614,NW,Bus,"A B C Coach Limited,",NoGroup_BusMode,,,,,,,ABCC,,,,,,,,,,,,,,,,"2015-09-08 00:00:00","John Prince","Added for John McCabe",OK,,
ABCM,"Abbey Coaches (Midlands)","Abbey Coaches (Midlands)","Abbey Coaches (Midlands) Ltd",PD1049480,WM,Bus,"Abbey Coaches (Midlands) Ltd,",NoGroup_BusMode,,,,ABC,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ABCT,"ABC Travel","ABC Travel","A B C Travel (Castle Douglas) Ltd",PM1058933,SC,Bus,"A B C Travel (Castle Douglas) Ltd,",NoGroup_BusMode,,,,,,,,ABC,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-10-01 00:00:00","Licence ceased for Stuart McNeil"
ABCW,"Abbey Coachways Ltd","Abbey Coachways Ltd","Abbey Coachways Ltd",PB0000211,YO,Bus,"Abbey Coachways Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ABLL,"A & J Ballantyne","A & J Ballantyne","John Ballantyne & Audrey Ballantyne",PM0001835,SC,Bus,"John Ballantyne & Audrey Ballantyne,",NoGroup_BusMode,,,,,,,,,BLL,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ABLO,"Abellio London","Abellio London (West) (formerly Travel London)","Abellio London Ltd",PK0003436,LO,Bus,"Abellio London Ltd,",Abellio,,TE,,,,,,,,ABLO,,,,,,,,,,,,,"2014-02-04 00:00:00","John Prince","Specify Lic Name",OK,,
ABLO,"Abellio London","Abellio London (West) (formerly Travel London)","Abellio London Ltd",PK0003436,LO,Bus,"Abellio London Ltd,",Abellio,,CX,,,,,,,,,,,,,,,,,,,,,"2017-05-23 00:00:00","Amy Brown","Added local code CX",,,
ABNW,"Avon Buses",,"Avon Buses Ltd",PC1097846,NW,Bus,"Avon Buses Ltd,",NoGroup_BusMode,,,,,,,AVO,,,,,,,,,,,,,,,,"2016-09-08 00:00:00","Amy Brown","Replaced Trapeze code with new local code",OK,,
ABNW,"Avon Buses",,"Avon Buses Ltd",PC1097846,NW,Bus,"Avon Buses Ltd,",NoGroup_BusMode,,,,,,,AVON,,,,,,,,,,,,,,,,"2016-09-09 00:00:00","Amy Brown","Replaced Trapeze code with new local code",Dup,,
ABNW,"Avon Buses",,"Avon Buses Ltd",PC1097846,NW,Bus,"Avon Buses Ltd,",NoGroup_BusMode,,,,,,,2367,,,,,,,,,,,,,,,,"2016-09-19 00:00:00","Amy Brown","Added old local code back in",,,
ABPH,"A B Phillips","A B Phillips (Haverfordwest)","Alun Bowen Phillips",PG0006187,WA,Bus,"Alun Bowen Phillips,",NoGroup_BusMode,,,,,ABPH,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
ABPV,"Abacus Private Hire","Abacus Private Hire","Abacus Private Hire",,NW,Bus,"Abacus Private Hire     ,",NoGroup_BusMode,,,,,,,1115,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ABSU,"Abellio Surrey","Abellio Surrey (formerly Travel Surrey)","Abellio West London Ltd",PK0001815,SE,Bus,"Abellio West London Ltd,",Abellio,,TS,,,,,,,,ABSU,,,,,,,,,,,,,"2015-06-15 00:00:00","John Prince","Data cleanse for David Dyson",OK,,
ABTA,"Abbey Taxis","Abbey Taxis","Abbey Taxis",,SW,Bus,"Abbey Taxis,",NoGroup_BusMode,,,ABT,,,,,,,,,,,,,,,,,,,"Schools service","2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-07-03 00:00:00","Seasonal? for Andy Hole"
ABTB,"ABC Buses","ABC Buses","ABC Buses",,NW,Bus,"ABC Buses               ,",NoGroup_BusMode,,,,,,,1117,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ABUS,ABUS,ABUS,"Alan James Peters",PH0005662,SW,Bus,"Alan James Peters,",NoGroup_BusMode,,,AB,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ABXT,"A-B Taxis","A-B Taxis","A-B Taxis",,NW,Bus,"A-B Taxis               ,",NoGroup_BusMode,,,,,,,1118,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ABYD,"Abbey Coaches","Abbey Coaches","Abbey Coaches (Darwen) Ltd",PC1025063,NW,Bus,"Abbey Coaches (Darwen) Ltd,",NoGroup_BusMode,,,,ABY,,,ABYD,,,,,,,,,,,,,,,,"2018-06-05 00:00:00","Amy Brown","Added local WM code",OK,,
ACAC,"A C Aldis and Company","A C Aldis and Company","A C Aldis & Co Ltd",PF1072644,SW,Bus,"A C Aldis & Co Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ACAS,"Ace Cars","Ace Cars","Ace Cars",,NW,Bus,"Ace Cars                ,",NoGroup_BusMode,,,,,,,1119,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ACCO,"A & C Coaches","A & C Coaches","William Craig Cowie",PH0006945,SW,Bus,"William Craig Cowie,",NoGroup_BusMode,,,AE,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ACCS,"Access Anyone","Access Anyone","Access Anyone Ltd",PF1086657,SE,Bus,"Access Anyone Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
ACCX,"Accrington & Hyndburn Taxis","Accrington & Hyndburn Taxis","Accrington & Hyndburn Taxis",,NW,Bus,"Accrington & Hyndburn Taxis,",NoGroup_BusMode,,,,,,,1121,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ACEP,"ACE PRIVATE HIRE & MINIBUSES","Ace Private Hire","ACE PRIVATE HIRE & MINIBusES",,NW,Bus,"ACE PRIVATE HIRE & MINIBusES                    ,",NoGroup_BusMode,,,,,,,1827,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
ACET,"Ace Mini Coaches","Ace Mini Coaches","Andrew John Mclean",PM2014327,SC,Bus,"Andrew John Mclean,",NoGroup_BusMode,,,,,,,,,AJM,,,,,,,,,,,,,,"2019-09-10 00:00:00","Amy Brown","Updated to new licence",OK,,
ACHR,"Atcost Hire","Atcost Hire","Atcost Hire",,NW,Bus,"Atcost Hire             ,",NoGroup_BusMode,,,,,,,1123,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ACHS,"Arleen Coaches","Arleen Coaches","Arleen Coach Hire & Services LTD",PH0003631,SW,Bus,"Arleen Coach Hire & Services LTD",NoGroup_BusMode,,,ACH,,,,,,,,,,,,,,,,,,,,"2018-01-18 00:00:00","Amy Brown","Added for Andy Hole",,,
ACKC,"Acklams Coaches","Acklams Coaches Ltd","Acklams Coaches Ltd",PB1075166,YO,Bus,"Acklams Coaches Ltd,",NoGroup_BusMode,,,,,,ACK,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ACLT,"ABC Coaches Ltd (Stoke on Trent)","ABC Coaches Ltd","Abc Coaches (2002) Ltd",PD1020733,WM,Bus,"Abc Coaches (2002) Ltd,",NoGroup_BusMode,,,,ACL,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
ACLV,"ACL Travel (Weston super Mare)","ACL Travel","Matthew Bowden & Wayne Jones",PH1050461,SW,Bus,"Matthew Bowden & Wayne Jones,",NoGroup_BusMode,,,ACL,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-07-03 00:00:00","Seasonal? for Andy Hole"
ACME,"Acme Transport Services","Acme Transport Services","Acme Bus Co Ltd",PF1102351,SE,Bus,"Acme Bus Co Ltd,",NoGroup_BusMode,,,,,,,,,,ACME,,,,,,,,,,,,,"2015-06-15 00:00:00","John Prince","Data cleanse for David Dyson",OK,,
ACMH,"Acorn of Tamworth",,"Acorn Coach And Minibus Hire Limited",PD1055648,WM,Bus,"Acorn Coach And Minibus Hire Limited,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-07-29 00:00:00","John Prince","Added for Roger Slevin",OK,,
ACML,"Morse Coaches","Morse Coaches","A C Morse Ltd",PB1021397,YO,Bus,"A C Morse Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,MCA,,,"2014-06-05 00:00:00","John Prince","Operator Ceased",OK,"2014-06-05 00:00:00",
ACON,"Airport Connect","Airport Connect","Airport Connect",,NW,Bus,"Airport Connect         ,",NoGroup_BusMode,,,,,,,1125,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ACRN,"Acorn Travel (Nottingham)","Acorn Travel (Nottingham)","Desmond Herbert King & Madeline J King",PB0002653,EM,Bus,"Desmond Herbert King & Madeline J King,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
ACTL,"Astra Coach Travel",,"Astra Coach Travel Ltd",PH0006713,SW,Bus,"Astra Coach Travel Ltd,",NoGroup_BusMode,,,ACTL,,,,,,,,,,,,,,,,,,,,"2015-09-21 00:00:00","John Prince","Added for Andy Hole",OK,,
ACYM,"Arriva Wales","Arriva Cymru","Arriva Cymru Ltd",PG0007245,WA,Bus,"Arriva North West & Wales,",Arriva,,,,ACY,ACYM,,ACY,CR,,,,,,,,,,,,,,,"2016-09-08 00:00:00","Amy Brown","Replaced Trapeze code with new local code",OK,,
ACYM,"Arriva Wales","Arriva Cymru","Arriva Cymru Ltd",PG0007245,WA,Bus,"Arriva North West & Wales,",Arriva,,,,,,,,,,,,,,,,,,,,,,,"2016-09-08 00:00:00","Amy Brown","Replaced Trapeze code with new local code",Dup,,
ACYM,"Arriva Wales","Arriva Cymru","Arriva Cymru Ltd",PG0007245,WA,Bus,"Arriva North West & Wales,",Arriva,,,,,ACYM,,,,,,,,,,,,,,,,,,"2014-03-24 00:00:00","John Prince","Add four char version of local code",OK,,
ADAM,"Adams Travel (Manchester)","Adams Travel Manchester","Jonathan Peter Monk",PC0005254,NW,Bus,"Jonathan Peter Monk,",NoGroup_BusMode,,,,,,,2204,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
ADDI,"Addison of Callendar","Addison News","Gordon Prentice Addison",PM0001718,SC,Bus,"Gordon Prentice Addison,",NoGroup_BusMode,,,,,,,,,ADD,,,,,,,,,,,,,,"2015-12-11 00:00:00","Steven Penn","Scotland code added",OK,,
ADDL,"Addlethorpe Mini Buses","Addlethorpe Mini Buses","Darryl Joseph Richardson",PF0001956,EM,Bus,"Darryl Joseph Richardson,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
ADDT,"Addison Travel",,"Anthony Martin Foye",PF1061496,EM,Bus,"Anthony Martin Foye,",NoGroup_BusMode,,,,,,,,,,,,ADDT,,,,,,,,,,,"2015-08-24 00:00:00","John Prince","Added for Stuart Reynolds",OK,,
ADER,"Arriva Derby",Arriva,"Arriva Midlands North Ltd",PC1116467,EM,Bus,"Arriva in the Midlands,",Arriva,,,,DCT,,,,,,,,ADER,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
ADEY,"Adeys Taxis","Adeys Taxis","Neil Francis Holder & Nigel Mark Holder",PG0007551,WA,Bus,"Neil Francis Holder & Nigel Mark Holder,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ADPS,"AD'RAINS PSV","AD'RAINS PSV","Adrian Karl Griffiths",PH0006583,SW,Bus,"Adrian Karl Griffiths,",NoGroup_BusMode,,,AD,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
ADST,"Bubble Travel","Bubble Travel","Bubble Travel Ltd",PC1057697,NW,Bus,"Bubble Travel Ltd,",NoGroup_BusMode,,,,,,,ADST,,,,,,,,,,,,,,,,"2016-09-08 00:00:00","Amy Brown","Replaced Trapeze code with new local code",OK,,
ADVN,"Advent Travel","Advent Travel","James Kirk Cumming",PC0002445,NW,Bus,"James Kirk Cumming,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
AETR,"Ace Mini Coaches","Ace Travel (Pontypool)","Susan Margaret Freer",PG0007149,WA,Bus,"Susan Margaret Freer,",NoGroup_BusMode,,,,,AETR,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-07-17 00:00:00","Ceased for Debra Glaves"
AFCM,"Aberfeldy Motor Services","Aberfeldy Motor Services","John Stewart",PM1007523,SC,Bus,"John Stewart,",NoGroup_BusMode,,,,,,,,,AFC,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
AFDC,"Ashford Luxury Coaches","Ashford Luxury Coaches","Ashford Luxury Coaches (Middx) Ltd",PK0001832,SE,Bus,"Ashford Luxury Coaches (Middx) Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
AFLD,"Ashfield Leisure Transport","Ashfield Leisure Transport","David Frederick Riley",PB0002654,EM,Bus,"David Frederick Riley,",NoGroup_BusMode,,,,,,,,,,,,AFLD,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
AFTR,"Alec Finn Transport","Alec Finn Transport","Alexander Finn",PB1144294,NE,Bus,"Alexander Finn",NoGroup_BusMode,,,,,,,,AFT,,,,,,,,,,,,,,,"2016-11-02 00:00:00","Amy Brown","Added for Stuart Reynolds",,,
AGCO,"Applegates Coaches","Applegates Coaches","Edward Frank Applegate",PH0004828,SW,Bus,"Edward Frank Applegate,",NoGroup_BusMode,,,AG,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
AGMB,"A & G Minibuses","A & G Minibuses","Allan Robinson & Gregory Ronald Cobb",PH0006695,WA,Bus,"Allan Robinson & Gregory Ronald Cobb,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
AGST,"AGS Taxis","AGS Taxis","AGS Taxis",,SE,Bus,"AGS Taxis,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
AIMC,"MacLennan Coaches","MacLennan Coaches","MacLennan Coaches Ltd",PM1132069,SC,Bus,"MacLennan Coaches Ltd,",NoGroup_BusMode,,,,,,,,,AIM,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
AINS,"Ainsdale  Transport/Coaches (Oldham)",Ainsdale,"Stephen Garforth",PC1083718,NW,Bus,"Stephen Garforth,",NoGroup_BusMode,,,,,,,2284,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
AINT,"Aintree Coachlines","Aintree Coachlines","John Cherry",PC0003713,NW,Bus,"John Cherry,",NoGroup_BusMode,,,,ATL,,,AIN,,,,,,,,,,,,,,,,"2016-09-08 00:00:00","Amy Brown","Replaced Trapeze code with new local code",OK,,
AINT,"Aintree Coachlines","Aintree Coachlines","John Cherry",PC0003713,NW,Bus,"John Cherry,",NoGroup_BusMode,,,,,,,AINT,,,,,,,,,,,,,,,,"2016-09-09 00:00:00","Amy Brown","Replaced Trapeze code with new local code",Dup,,
AINT,"Aintree Coachlines","Aintree Coachlines","John Cherry",PC0003713,NW,Bus,"John Cherry,",NoGroup_BusMode,,,,,,,2409,,,,,,,,,,,,,,,,"2016-09-19 00:00:00","Amy Brown","Added old local code back in",,,
AIRL,"the airline","the airline (operated by Oxford Bus Company)","The City Of Oxford Motor Services Ltd",PH0005727,SE,Bus,"The City Of Oxford Motor Services Ltd,","Go Ahead Group",,,,OXF,,,,,,,,,,,,,,,,,,,"2017-02-21 00:00:00","Amy Brown","Added WM local code",OK,"2013-08-30 00:00:00",
AITR,"Aitken Island Travel","Aitken Island Travel","John Antony Aitken",PM0002263,SC,Bus,"John Antony Aitken,",NoGroup_BusMode,,,,,,,,,AIT,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
AITR,"Aitken Island Travel","Aitken Island Travel","John Antony Aitken",PM0002263,SC,Bus,"John Antony Aitken,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2016-01-14 00:00:00","Steven Penn","Removed second local code for Stuart McNeil",Dup,,
AJCL,"Andybus & Coach Ltd","Andybus & Coach Ltd","Andybus & Coach Limited",PH1024232,SW,Bus,"Andybus & Coach Limited,",NoGroup_BusMode,,,AJ,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
AJCO,"A & J Coaches","A & J Coaches","Alan Leslie Cole & Jennifer Margaret Cole",PF0001118,EA,Bus,"Alan Leslie Cole & Jennifer Margaret Cole",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2021-10-07 00:00:00","Amy Brown",,,,
AJTX,"A and J Taxis","A & J Taxis","Anthony John Mullane and Jane Allison Mullane","PC 1143947",NW,Bus,"Anthony John Mullane and Jane Allison Mullane,",NoGroup_BusMode,,,,,,,AJTX,,,,,,,,,,,,,,,,"2021-05-04 00:00:00","Amy Brown",,OK,,
AJTX,"A and J Taxis","A and J Taxis","Anthony John Mullane and Jane Allison Mullane","PC 1143947",NW,Bus,"Anthony John Mullane and Jane Allison Mullane,",NoGroup_BusMode,,,,,,,2268,,,,,,,,,,,,,,,,"2021-05-04 00:00:00","Amy Brown",,,,
AJXS,"A J Express","A J Express","A J Express",,WM,Bus,"A J Express,",NoGroup_BusMode,,,,AJX,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
AKIN,"David Atkinson (Halifax)","David Atkinson","David Atkinson & Peter Graham Hillam",PB0003350,YO,Bus,"David Atkinson & Peter Graham Hillam,",NoGroup_BusMode,,,,,,AKA,,,,,,,,,,,,,,AKA,,,"2013-01-19 00:00:00","John Prince","Remove Yorks code of AK",OK,,
